A, B, C
5, 0.605010929881, 0.95754954955
10, 0.616512527325, 0.984706306306
15, 0.628081385573, 0.994893693694
20, 0.630544812511, 0.997488288288
30, 0.638826298974, 0.999376576577
50, 0.642559273583, 0.999927927928
100, 0.651748780898, 0.999996396396
150, 0.651479737683, 1.0
167, 0.650151336808, 1.0
200, 0.65142929208, 1.0
300, 0.653522784597, 1.0
400, 0.651799226501, 1.0
500, 0.65481755507 1.0
